cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
Nosso Quadro,AgroPlay,2023-02-02,926,50.1,"423,018,422","23,872","16,779,061",63.0,"361,813,279","288,613","277,692,228","609,133",2023
APAGA EL CEL,FloyyMenor,2024-05-17,929,50.0,"33,245,898","2,343","69,471,936",78.0,"15,755,338",,,"171,732",2024
Genda Phool (feat. Payal Dev),Badshah,2020-03-26,930,50.0,"86,295,058","7,591","3,058,131",55.0,"1,022,945,729","5,444,473","1,953,198,700","193,040",2020
Pure Cocaine,Lil Baby,2018-11-30,928,50.0,"652,559,944","170,734","17,463,888",74.0,"317,320,682","13,434","62,837,382","1,456,448",2018
Espresso,Sabrina Carpenter,2024-04-12,933,49.9,"536,986,458",1,2,,,,,,2024
Pretty Little Poison,Warren Zeiders,2023-03-17,932,49.9,"142,512,477","23,828","9,380,794",72.0,"56,277,759","100,195","109,014,578","549,127",2023
Corazï¿½ï¿½n Roto - R,Brray,2023-04-07,931,49.9,"203,212,015","36,459","13,719,365",67.0,"178,302,256","827,700","359,964,365","836,117",2023
Summer,Calvin Harris,2014-01-01,935,49.8,"1,497,564,072","255,037","105,180,321",81.0,"1,989,930,606","1,293,032","1,214,191,679","11,380,320",2014
Murder On My Mind,YNW Melly,2018-06-01,934,49.8,"1,055,558,326","208,777","21,077,896",72.0,"952,644,680","251,510","350,694,950","2,087,864",2018
You Are The Reason,Calum Scott,2017-11-17,937,49.8,"1,042,531,612","119,883","31,204,776",73.0,"1,425,188,874","1,513,635","1,930,209,423","6,610,744",2017
Bad Liar,Imagine Dragons,2018-11-06,938,49.8,"1,056,929,910","134,812","31,112,950",74.0,"908,433,462","1,429,594","2,058,078,137","11,123,506",2018
Wild Ones (feat. Jelly Roll),Jessie Murph,2023-10-06,936,49.8,"165,347,464","21,942","13,799,115",,"43,792,907","15,847","7,395,640","354,116",2023
ROXANNE,Arizona Zervas,2019-10-10,939,49.7,"1,474,968,552","170,595","31,145,335",68.0,"473,697,535","1,513,097","4,972,391,653","4,556,715",2019
Softly,Karan Aujla,2023-08-18,941,49.6,"150,073,848","12,340","8,409,772",71.0,"232,389,376","70,200","169,068,391","270,472",2023
Tacones Rojos,Sebastian Yatra,2021-10-22,940,49.6,"641,756,842","80,542","23,090,494",68.0,"558,812,868","328,394","855,230,861","2,934,783",2021
Ride the Vibe,NEXZ,2024-05-20,942,49.6,"899,456",147,"2,784,044",46.0,"31,419,384",,,"8,204",2024
family ties,Baby Keem,2021-08-27,945,49.5,"786,298,066","204,148","57,623,622",77.0,"63,403,993","55,168","532,021,210","1,938,598",2021
"Perdonarte, ï¿½ï¿½Para Q",Los ï¿½ï¿½ngeles Az,2024-05-23,943,49.5,"19,514,243","1,329","42,180,412",75.0,"17,545,232",,,"48,790",2024
Whatever It Takes,Imagine Dragons,2017-05-09,944,49.5,"1,257,258,072","156,442","33,271,283",76.0,"1,192,880,501","202,700","340,416,328","12,160,416",2017
POP!,NAYEON,2022-06-24,946,49.4,"296,828,933","25,748","12,535,016",69.0,"407,776,018","1,937,239","5,178,604,164","445,036",2022
Into the Unknown,ALPHA 9,2023-01-13,948,49.4,"78,985",67,"5,674",9.0,"621,561,070",,,,2023
Lonely At The Top,Asake,2023-06-15,947,49.4,"84,655,991","13,107","7,678,884",69.0,"75,076,449","1,513,241","382,487,197","2,361,169",2023
ecstacy (slowed),SUICIDAL-IDOL,2023-06-06,949,49.3,"242,661,037","43,999","9,893,510",74.0,"51,722,759","499,500","646,143,014","2,552,266",2023
Si Se Da,Myke Towers,2019-02-26,952,49.3,"317,223,968","47,247","7,578,697",54.0,"1,867,482,161","15,153","14,034,398","1,796,737",2019
Holy (feat. Chance The Rapper),Justin Bieber,2020-09-18,950,49.3,"787,546,548","110,389","44,478,175",63.0,"396,861,382","193,594","561,056,269","3,589,419",2020
